gene;Arabidopsis_G18_wt22;Arabidopsis_G18_wt29;Arabidopsis_G17_mut22;Arabidopsis_Ruben_mut29
AT1G02480;0;0;0;0
AT1G02490;0;0,94654186;0;0
AT1G02500;158,0475997;169,8652311;139,704525;176,2211914
AT1G02510;0;0;0;0
AT1G02520;2,816633909;3,53120222;2,159643714;5,209648292
AT1G02530;0;0,200230009;0;0,126601309
AT1G02540;0;0;0;0
AT1G02550;0;0;0;0
AT1G02560;63,29651055;60,81434862;76,17305121;74,18268306
AT1G02570;0,31580797;0;0,278833178;0
AT1G02575;0;0;0;0
AT1G02580;0,274225681;0;0;0,114725627
AT1G02590;0;0;0;0
AT1G02600;0;0;0;0
AT1G02610;2,288788646;1,346159293;2,469887823;0,212787197
AT1G02620;0,230905972;0;0;0
AT1G02630;0;0;0;0
AT1G02640;4,259414355;5,07808765;4,167286756;6,261001886
AT1G02650;0,665935719;0,734385926;0,293983988;1,114409017
AT1G02660;0,786236056;1,387282711;2,380057891;1,315725415
AT1G02670;0,120746586;0,42610524;0,426438312;0,707221107
AT1G02680;2,121977191;6,552254804;3,434816251;8,5816297
AT1G02690;8,847299624;7,675267472;10,15489531;11,10412409
AT1G02700;0;0,207624027;0;0
AT1G02705;6,763802295;7,293283621;5,308352388;5,030610514
AT1G02710;0;0;0;0
AT1G02720;2,473752481;5,319647919;1,774602036;5,562717788
AT1G02730;16,16812801;19,20982811;18,36402988;19,78253594
AT1G02740;4,095761459;2,710053975;4,52028722;3,084320328
AT1G02750;6,958694991;4,860178084;0,767996387;4,124276681
AT1G02760;0;0;0;0
AT1G02770;0,259698648;0,229114044;0;0,434592269
AT1G02780;295,2710118;275,5208449;282,3620341;296,0860597
AT1G02790;0;0;0;0
AT1G02800;0,877824357;1,858664015;0,775048696;3,966283
AT1G02810;3,291223151;3,431547531;2,113372219;3,755244468
AT1G02813;0;0;0;0
AT1G02816;5,37386416;5,618946804;3,338857499;7,494070003
AT1G02820;2,348773279;1,726799339;3,801928062;3,275458934
AT1G02830;0;0;0;0
AT1G02840;21,79692206;22,12965537;28,71467057;26,34379425
AT1G02850;7,885936315;7,214887355;12,37804627;9,0421881
AT1G02860;1,897982908;4,651272871;1,303374412;3,176176327
AT1G02870;7,928501269;10,32560533;9,666987703;11,37251761
AT1G02880;4,878295185;4,648082775;3,96257291;6,530859944
AT1G02890;12,95510967;20,92046548;13,51194025;22,75735289
AT1G02900;4,482770103;6,261823815;6,26671847;6,251403452
AT1G02910;13,0718589;10,02816643;14,38494066;12,68120605
AT1G02920;0,526694614;1,626331013;4,882806784;3,305235833
AT1G02930;1,077431079;5,94089037;12,84235379;3,380672323
AT1G02940;0;0;0;0,27486841
AT1G02950;2,304288936;3,484995029;0,871929783;1,928054236
AT1G02952;0;0;0;0
AT1G02960;3,999793826;6,469356183;4,267226789;5,298979903
AT1G02965;0;0;0;0
AT1G02970;1,350928422;1,936723964;0,298190436;3,673651981
AT1G02980;0;0,231472155;0;0,109766306
AT1G02990;4,435030775;4,50555522;4,568407022;5,004088948
AT1G03000;4,174881287;6,766822563;5,829159661;8,611203493
AT1G03010;0,127154925;0,224359882;1,908549682;0,212787197
AT1G03020;1,422545721;0;0,418664697;0,39675946
AT1G03030;4,840789666;3,713645077;4,274030094;5,283137858
AT1G03040;10,72568132;13,41957694;10,50300078;16,64350088
AT1G03050;0;0;0;0
AT1G03055;2,667769464;3,922645567;3,402283531;3,472291164
AT1G03060;8,496274409;11,5842198;10,69967551;13,59408541
AT1G03070;0,768449135;2,259830646;0;0,642979961
AT1G03080;11,63073381;13,86873133;11,72261152;17,55263852
AT1G03090;4,443563;5,467712078;5,265495966;6,164113213
AT1G03100;0,452628184;1,197967041;1,09899483;1,420218522
AT1G03103;0;0;0;0
AT1G03106;0;0;0;0
AT1G03110;7,727319193;3,946843976;8,438484875;6,4656347
AT1G03120;0;0,435174818;0;0
AT1G03130;405,0695216;548,9992343;451,0320815;422,9663573
AT1G03140;13,14868824;14,50021572;9,432507532;17,87796593
AT1G03150;5,158721219;10,50272474;7,357654058;12,28521447
AT1G03160;11,60898054;16,36772946;10,05821622;18,6100045
AT1G03165;0;3,73172034;0;10,61770449
AT1G03170;0,276126726;0,852625878;0,73139344;0,346562856
AT1G03180;1,216996466;1,073671288;1,611765811;1,697150587
AT1G03190;3,109949804;2,005005899;2,534618708;3,302754425
AT1G03200;1,471825596;3,895467884;3,2487607;1,847268064
AT1G03210;2,336573723;4,638141871;3,610263494;5,132052705
AT1G03220;34,56259233;43,58149162;50,90962719;57,97978244
AT1G03230;5,796740615;8,423159021;7,526556356;13,98019851
AT1G03240;0;0,515821894;0;0
AT1G03250;6,353455735;7,329892407;11,86644725;5,520554942
AT1G03260;3,777583058;4,704986315;1,765749016;4,090440627
AT1G03270;1,818779917;1,604582947;3,532841829;3,043634215
AT1G03280;5,262368177;8,430022742;5,746677879;10,19676985
AT1G03290;1,265321938;3,596984353;1,241308964;2,823267846
AT1G03300;1,109175381;2,236681709;0,839411268;3,314549443
AT1G03310;9,122062866;20,94246958;11,62346126;19,60203407
AT1G03320;0;0;0;0,762867975
AT1G03325;0;0;0;0
AT1G03330;13,62105954;9,467870777;9,83970501;14,15999566
AT1G03340;0,63645188;2,058823073;0;0,88755778
AT1G03350;15,16552025;13,3794831;14,467293;14,43961344
AT1G03360;6,285968345;6,398852784;9,178858189;7,484846143
AT1G03365;4,086506914;5,236182861;4,123495718;4,966095814
AT1G03370;4,034510941;3,089262992;4,704727033;4,267486367
AT1G03380;8,321244926;6,937149504;8,358047891;8,815018039
AT1G03390;0;0;0;0
AT1G03395;0;0;0;1,174547829
AT1G03400;3,869324361;6,22486493;4,220140149;3,999335358
AT1G03410;1,804361503;6,367450335;3,080006652;3,019505744
AT1G03430;2,63743616;4,019063743;2,752035211;6,620419705
AT1G03440;12,32431036;11,5278742;16,25651999;12,05142994
AT1G03445;0;0,623562881;0;0,098566491
AT1G03457;1,269522874;3,500036508;7,005544736;3,850621693
AT1G03470;2,817835592;2,071650201;1,451288678;2,750709654
AT1G03475;33,793455;51,52570171;39,07987611;54,7075269
AT1G03490;0;0;0;0
AT1G03495;1,459466755;1,28758595;0;1,221171102
AT1G03502;0;0;0;0
AT1G03506;0;0;0;3,100259968
AT1G03510;1,735331472;0,765481095;1,723678754;1,633492999
AT1G03515;0;0;0;0
AT1G03520;1,942078359;1,976954517;1,31899989;2,624973981
AT1G03530;3,822055672;4,624366261;9,448794485;6,121897853
AT1G03540;2,313850301;1,603917145;1,751095497;1,936054461
AT1G03545;2,29244778;0,777871977;0,467088008;2,508345364
AT1G03550;2,045908452;4,286786287;3,38695036;2,781774192
AT1G03560;2,454302245;1,323214487;2,648497597;2,281748885
AT1G03570;0;0;0;0
AT1G03590;5,903596882;6,986787744;9,789148711;10,2408045
AT1G03600;109,126795;115,3160278;116,4767246;118,0930075
AT1G03610;7,764066797;8,847523758;9,711320816;5,142969327
AT1G03620;0,832854787;1,322585672;0,735344163;1,254365507
AT1G03630;48,81678784;87,71287899;51,46897451;77,2037802
AT1G03640;0;0;0;0
AT1G03650;0,358033979;0,631736927;2,528922936;0,898727047
AT1G03660;0;0,276968406;0;0,525364251
AT1G03670;0;0;0;0
AT1G03680;63,06271795;71,23743416;76,59591195;80,40548574
AT1G03687;3,083001645;5,828395279;2,52761216;4,790726529
AT1G03700;1,14622389;0;2,024048033;0,319691076
AT1G03710;0,320896517;0,56620933;0;0,26850187
AT1G03720;0;0;0;0
AT1G03730;0,250905702;1,549496477;1,772237333;1,04969432
AT1G03740;4,845654524;7,096473048;6,845320598;6,000624828
AT1G03743;7,966256037;14,05614662;0;3,332779465
AT1G03746;0;13,3868063;13,39727031;3,174075681
AT1G03750;1,725542824;2,131256888;1,421948546;1,732564054
AT1G03760;3,716037801;3,483301639;1,640482079;4,66394794
AT1G03770;1,714011079;3,161773811;1,100607048;4,172085785
AT1G03780;6,751575302;9,572858081;3,193446953;6,960629076
AT1G03790;0;0;0;0
AT1G03800;0;0,879196035;0;0,416923154
AT1G03810;0;0;0;0
AT1G03820;4,527889755;10,98526556;4,497485061;11,6025715
AT1G03830;2,975585886;3,088414527;4,095347943;3,734616923
AT1G03840;1,991564009;1,317763745;5,861305762;2,082987166
AT1G03850;4,889773526;3,355260914;1,439092975;3,864092134
AT1G03860;21,25858856;31,25828874;24,82435382;45,90341875
AT1G03870;57,81186668;85,56966297;77,89539283;112,3344411
AT1G03880;0,195610952;0;0;0
AT1G03890;0;0;0;0
AT1G03900;16,49968888;27,29348857;12,97454091;24,59138246
AT1G03905;0,959789884;1,354809312;2,203286021;0,160615878
AT1G03910;9,364721046;15,64242021;12,56781549;12,01472221
AT1G03920;0,429640775;1,768863394;0,758676881;0,599151365
AT1G03930;6,492250242;7,364135025;6,784979311;8,979796646
AT1G03935;25,93664756;9,806613918;0;6,200519935
AT1G03940;0,997340349;0,733236652;2,054667435;0,695415642
AT1G03950;2,518974241;1,388947294;3,058072572;2,8980691
AT1G03960;1,128187322;2,764781002;1,992198339;3,356379005
AT1G03970;5,091971899;7,565966219;6,152152726;8,521151871
AT1G03980;0,385308635;0;0;0,805992616
AT1G03982;0;0;0;0
AT1G03987;0;0;0;0
AT1G03990;0;0;0;0
AT1G03993;0;0;0;0
AT1G03997;0;0;0;0
AT1G04000;7,802652042;11,54691349;7,111347276;14,74215245
AT1G04003;0;0;0;0
AT1G04007;0;0;0;0
AT1G04010;2,161969222;3,814709975;2,333033881;3,215950031
AT1G04013;1,284880006;0;0;0
AT1G04017;0;0;0;0
