gene;mut_22_GH-mut_29_GH_adjPval;wt_22_GH-wt_29_GH_adjPval
AT1G15385;0,999964783;0,390164436
AT1G24807;0,999964783;0,389987182
AT1G74545;0,999964783;0,389661739
AT1G10000;0,999964783;0,389661739
AT1G15850;0,999964783;0,389479202
AT1G40390;0,999964783;0,389256068
AT4G37295;0,999964783;0,388486306
AT1G57800;0,999964783;0,387740241
AT1G07763;0,999964783;0,385607117
AT1G56960;0,999964783;0,385510536
AT3G62210;0,999964783;0,385461286
AT2G47920;0,999964783;0,38394712
AT1G52315;0,999964783;0,38394712
AT5G65510;0,999964783;0,38394712
AT3G03280;0,999964783;0,38394712
AT1G31990;0,999964783;0,38394712
AT1G07693;0,999964783;0,38394712
AT1G19565;0,999964783;0,38394712
AT1G27640;0,999964783;0,38394712
AT1G52615;0,999964783;0,38394712
AT2G04555;0,999964783;0,38394712
AT2G09620;0,999964783;0,38394712
AT1G05103;0,999964783;0,383715773
AT1G05487;0,999964783;0,383539825
AT1G50610;0,999964783;0,383539825
AT1G63870;0,999964783;0,383539825
AT3G14480;0,999964783;0,383539825
AT5G56700;0,999964783;0,383010552
AT3G60280;0,999964783;0,382656975
AT2G25240;0,999964783;0,382656975
AT5G35926;0,999964783;0,381538059
AT1G35375;0,999964783;0,381538059
AT2G13630;0,999964783;0,381538059
AT5G60560;0,540252642;0,381538059
AT1G17570;0,999964783;0,381360374
AT1G61320;0,999964783;0,380482195
AT1G22340;0,999964783;0,380310344
AT3G07615;0,999964783;0,379948697
AT1G08870;0,999964783;0,379948697
AT1G10875;0,999964783;0,378855195
AT2G03880;0,999964783;0,37854708
AT5G64667;0,999964783;0,37854708
AT2G17940;0,999964783;0,37854708
AT1G74620;0,999964783;0,37854708
AT3G03355;0,999964783;0,37854708
AT5G07760;0,999964783;0,377186229
AT1G15772;0,999964783;0,377186229
AT5G18636;0,999964783;0,377186229
AT1G63535;0,999964783;0,377186229
AT2G08985;0,999964783;0,377186229
AT1G56970;0,999964783;0,377137353
AT1G08267;0,999964783;0,376628446
AT1G52390;0,999964783;0,376628446
AT1G76065;0,999964783;0,374975358
AT1G06303;0,999964783;0,372646172
AT3G45020;0,999964783;0,37183631
AT2G35950;0,999964783;0,370490943
AT1G69790;0,999964783;0,370490943
AT3G47090;0,999964783;0,370490943
AT3G14700;0,999964783;0,370490943
AT3G50150;0,999964783;0,370490943
AT2G16970;0,999964783;0,370490943
AT5G26320;0,999964783;0,370490943
AT2G09745;0,999964783;0,370490943
AT1G10395;0,999964783;0,370490943
AT3G02955;0,999964783;0,370490943
AT5G58180;0,631836561;0,370490943
AT3G08070;0,999964783;0,370074593
AT2G38920;0,999964783;0,36991589
AT1G73165;0,999964783;0,36991589
AT1G04380;0,999964783;0,36991589
AT1G04643;0,999964783;0,36991589
AT1G28220;0,999964783;0,36915895
AT2G04810;0,999964783;0,369006218
AT4G13577;0,999964783;0,368294679
AT1G09537;0,999964783;0,368294679
AT2G25305;0,999964783;0,368294679
AT2G28725;0,999964783;0,368294679
AT1G29100;0,999964783;0,368140146
AT1G06243;0,999964783;0,367887976
AT1G08653;0,999964783;0,367887976
AT1G57360;0,999964783;0,367887976
AT5G50530;0,851542672;0,367887976
AT1G21120;0,999964783;0,367294266
AT2G03770;0,999964783;0,367294266
AT3G05635;0,999964783;0,367294266
AT4G08165;0,999964783;0,367294266
AT5G24110;0,999964783;0,367294266
AT1G09893;0,999964783;0,367294266
AT2G30830;0,999964783;0,367294266
AT1G56830;0,999964783;0,367171851
AT5G55720;0,999964783;0,366864094
AT2G02720;0,999964783;0,366864094
AT4G39890;0,999964783;0,366519053
AT2G08450;0,999964783;0,366519053
AT5G61690;0,485726105;0,366519053
AT1G05980;0,999964783;0,366417411
AT1G04357;0,999964783;0,364864276
AT2G42005;0,999964783;0,363758341
AT2G43440;0,999964783;0,363605404
AT4G36791;0,999964783;0,363165354
AT1G55917;0,999964783;0,362531877
AT3G63088;0,999964783;0,362531877
AT2G17590;0,999964783;0,362531877
AT1G32980;0,999964783;0,362531877
AT2G42660;0,999964783;0,36216794
AT1G07327;0,999964783;0,361908954
AT4G01930;0,999964783;0,361865923
AT4G19395;0,999964783;0,361482161
AT4G04455;0,999964783;0,359980192
AT3G01845;0,999964783;0,359624561
AT3G19320;0,999964783;0,359624561
AT5G57450;0,999964783;0,359624561
AT1G47400;0,999964783;0,359624561
AT5G05765;0,999964783;0,359624561
AT5G03550;0,999964783;0,359624561
AT1G04817;0,999964783;0,359624561
AT1G07747;0,999964783;0,359624561
AT2G39518;0,999964783;0,359570569
AT2G05230;0,999964783;0,358822954
AT2G03160;0,999964783;0,358544406
AT2G40050;0,999964783;0,358335538
AT1G32030;0,999964783;0,358207715
AT2G22345;0,999964783;0,358207715
AT3G46710;0,999964783;0,358096187
AT1G09857;0,999964783;0,358096187
AT1G21475;0,999964783;0,357925714
AT1G52857;0,999964783;0,357925714
AT1G01380;0,999964783;0,356707178
AT2G46850;0,999964783;0,356707178
AT1G62490;0,999964783;0,356707178
AT4G38215;0,999964783;0,356707178
AT5G66595;0,999964783;0,356707178
AT1G06127;0,999964783;0,356707178
AT1G06987;0,999964783;0,356707178
